Kraj;Sprzedawca;Data zamowienia;idZamowienia;Utarg;Rok
Niemcy;Peacock;10.02.2005;10847;4931.92;2005
Polska;King;29.01.2005;10848;931.5;2005
Polska;Dudek;30.01.2005;10849;967.82;2005
Niemcy;Davolio;30.01.2005;10850;629.0;2005
Polska;Kowalski;02.02.2005;10851;2603.0;2005
Niemcy;Callahan;30.01.2005;10852;2984.0;2005
Polska;Dudek;03.02.2005;10853;625.0;2005
Niemcy;Leverling;05.02.2005;10854;2966.5;2005
Niemcy;Leverling;04.02.2005;10855;2227.89;2005
Niemcy;Leverling;10.02.2005;10856;660.0;2005
Niemcy;Callahan;06.02.2005;10857;2048.22;2005
Niemcy;Fuller;03.02.2005;10858;649.0;2005
Niemcy;Davolio;02.02.2005;10859;1078.69;2005
Niemcy;Leverling;04.02.2005;10860;519.0;2005
Niemcy;Peacock;17.02.2005;10861;3523.4;2005
Niemcy;Callahan;02.02.2005;10862;581.0;2005
Niemcy;Peacock;17.02.2005;10863;441.15;2005
Niemcy;Peacock;09.02.2005;10864;282.0;2005
Niemcy;Fuller;12.02.2005;10865;16387.5;2005
Polska;Kowalski;12.02.2005;10866;1096.2;2005
Polska;Sowiński;11.02.2005;10867;98.4;2005
Polska;King;23.02.2005;10868;1920.6;2005
Polska;Kowalski;09.02.2005;10869;1630.0;2005
Polska;Kowalski;13.02.2005;10870;160.0;2005
Polska;Dudek;10.02.2005;10871;1979.23;2005
Polska;Kowalski;09.02.2005;10872;2058.46;2005
Niemcy;Peacock;09.02.2005;10873;336.8;2005
Polska;Kowalski;11.02.2005;10874;310.0;2005
Niemcy;Peacock;03.03.2005;10875;709.55;2005
Polska;King;12.02.2005;10876;917.0;2005
Niemcy;Davolio;19.02.2005;10877;1955.13;2005
Niemcy;Peacock;12.02.2005;10878;1539.0;2005
Niemcy;Leverling;12.02.2005;10879;611.3;2005
Polska;King;18.02.2005;10880;1500.0;2005
Niemcy;Peacock;18.02.2005;10881;150.0;2005
Niemcy;Peacock;20.02.2005;10882;892.64;2005
Niemcy;Callahan;20.02.2005;10883;36.0;2005
Niemcy;Peacock;13.02.2005;10884;1378.07;2005
Polska;Sowiński;18.02.2005;10885;1209.0;2005
Niemcy;Davolio;02.03.2005;10886;3127.5;2005
Niemcy;Callahan;16.02.2005;10887;70.0;2005
Niemcy;Davolio;23.02.2005;10888;605.0;2005
Polska;Dudek;23.02.2005;10889;11380.0;2005
Polska;King;18.02.2005;10890;860.1;2005
Polska;King;19.02.2005;10891;368.93;2005
Niemcy;Peacock;19.02.2005;10892;2090.0;2005
Polska;Dudek;20.02.2005;10893;5502.11;2005
Niemcy;Davolio;20.02.2005;10894;2753.1;2005
Niemcy;Leverling;23.02.2005;10895;6379.4;2005
Polska;King;27.02.2005;10896;750.5;2005
Niemcy;Leverling;25.02.2005;10897;10835.24;2005
Niemcy;Peacock;06.03.2005;10898;30.0;2005
Polska;Kowalski;26.02.2005;10899;122.4;2005
Niemcy;Davolio;04.03.2005;10900;33.75;2005
Niemcy;Peacock;26.02.2005;10901;934.5;2005
Niemcy;Davolio;03.03.2005;10902;863.43;2005
Niemcy;Leverling;04.03.2005;10903;932.05;2005
Niemcy;Leverling;27.02.2005;10904;1924.25;2005
Polska;Dudek;06.03.2005;10905;342.0;2005
Niemcy;Peacock;03.03.2005;10906;427.5;2005
Polska;Sowiński;27.02.2005;10907;108.5;2005
Niemcy;Peacock;06.03.2005;10908;663.1;2005
Niemcy;Davolio;10.03.2005;10909;670.0;2005
Niemcy;Davolio;04.03.2005;10910;452.9;2005
Niemcy;Leverling;05.03.2005;10911;858.0;2005
Niemcy;Fuller;18.03.2005;10912;6200.55;2005
Niemcy;Peacock;04.03.2005;10913;768.75;2005
Polska;Sowiński;02.03.2005;10914;537.5;2005
Niemcy;Fuller;02.03.2005;10915;539.5;2005
Niemcy;Davolio;09.03.2005;10916;686.7;2005
Niemcy;Peacock;11.03.2005;10917;365.89;2005
Niemcy;Leverling;11.03.2005;10918;1447.5;2005
Niemcy;Fuller;04.03.2005;10919;1122.8;2005
Niemcy;Peacock;09.03.2005;10920;390.0;2005
Niemcy;Davolio;09.03.2005;10921;1936.0;2005
Polska;Kowalski;05.03.2005;10922;742.5;2005
Polska;King;13.03.2005;10923;748.8;2005
Niemcy;Leverling;08.04.2005;10924;1835.7;2005
Niemcy;Leverling;13.03.2005;10925;475.15;2005
Niemcy;Peacock;11.03.2005;10926;514.4;2005
Niemcy;Peacock;08.04.2005;10927;800.0;2005
Niemcy;Davolio;18.03.2005;10928;137.5;2005
Polska;Sowiński;12.03.2005;10929;1174.75;2005
Niemcy;Peacock;18.03.2005;10930;2255.5;2005
Niemcy;Peacock;19.03.2005;10931;799.2;2005
Niemcy;Callahan;24.03.2005;10932;1788.63;2005
Polska;Sowiński;16.03.2005;10933;920.6;2005
Niemcy;Leverling;12.03.2005;10934;500.0;2005
Niemcy;Peacock;18.03.2005;10935;619.5;2005
Niemcy;Leverling;18.03.2005;10936;456.0;2005
Polska;King;13.03.2005;10937;644.8;2005
Niemcy;Leverling;16.03.2005;10938;2731.87;2005
Niemcy;Fuller;13.03.2005;10939;637.5;2005
Niemcy;Callahan;23.03.2005;10940;360.0;2005
Polska;King;20.03.2005;10941;4011.75;2005
Polska;Dudek;18.03.2005;10942;560.0;2005
Niemcy;Peacock;19.03.2005;10943;711.0;2005
Polska;Sowiński;13.03.2005;10944;1025.33;2005
Niemcy;Peacock;18.03.2005;10945;245.0;2005
Niemcy;Davolio;19.03.2005;10946;1407.5;2005
Niemcy;Leverling;16.03.2005;10947;220.0;2005
Niemcy;Leverling;19.03.2005;10948;2362.25;2005
Niemcy;Fuller;17.03.2005;10949;4422.0;2005
Niemcy;Davolio;23.03.2005;10950;110.0;2005
Polska;Dudek;07.04.2005;10951;458.74;2005
Niemcy;Davolio;24.03.2005;10952;471.2;2005
Polska;Dudek;25.03.2005;10953;4441.25;2005
Polska;Kowalski;20.03.2005;10954;1659.53;2005
Niemcy;Callahan;20.03.2005;10955;74.4;2005
Polska;Sowiński;20.03.2005;10956;677.0;2005
Niemcy;Callahan;27.03.2005;10957;1762.7;2005
Polska;King;27.03.2005;10958;781.0;2005
Polska;Sowiński;23.03.2005;10959;131.75;2005
Niemcy;Leverling;08.04.2005;10960;265.35;2005
Niemcy;Callahan;30.03.2005;10961;1119.9;2005
Niemcy;Callahan;23.03.2005;10962;3584.0;2005
Polska;Dudek;26.03.2005;10963;57.8;2005
Niemcy;Leverling;24.03.2005;10964;2052.5;2005
Polska;Sowiński;30.03.2005;10965;848.0;2005
Niemcy;Peacock;08.04.2005;10966;1098.46;2005
Niemcy;Fuller;02.04.2005;10967;910.4;2005
Niemcy;Davolio;01.04.2005;10968;1408.0;2005
Niemcy;Davolio;30.03.2005;10969;108.0;2005
Polska;Dudek;24.04.2005;10970;224.0;2005
Niemcy;Fuller;02.04.2005;10971;1733.06;2005
Niemcy;Peacock;26.03.2005;10972;251.5;2005
Polska;Sowiński;27.03.2005;10973;291.55;2005
Niemcy;Leverling;03.04.2005;10974;439.0;2005
Niemcy;Davolio;27.03.2005;10975;717.5;2005
Niemcy;Davolio;03.04.2005;10976;912.0;2005
Niemcy;Callahan;10.04.2005;10977;2233.0;2005
Polska;Dudek;23.04.2005;10978;1303.19;2005
Niemcy;Callahan;31.03.2005;10979;4813.5;2005
Niemcy;Peacock;17.04.2005;10980;248.0;2005
Niemcy;Davolio;02.04.2005;10981;15810.0;2005
Niemcy;Fuller;08.04.2005;10982;1014.0;2005
Niemcy;Fuller;06.04.2005;10983;720.9;2005
Niemcy;Davolio;03.04.2005;10984;1809.75;2005
Niemcy;Fuller;02.04.2005;10985;2023.38;2005
Niemcy;Callahan;21.04.2005;10986;2220.0;2005
Niemcy;Callahan;06.04.2005;10987;2772.0;2005
Niemcy;Leverling;10.04.2005;10988;3574.8;2005
Niemcy;Fuller;02.04.2005;10989;1353.6;2005
Niemcy;Fuller;07.04.2005;10990;4288.85;2005
Niemcy;Davolio;07.04.2005;10991;2296.0;2005
Niemcy;Davolio;03.04.2005;10992;69.6;2005
Polska;King;10.04.2005;10993;4895.44;2005
Niemcy;Fuller;09.04.2005;10994;940.5;2005
Niemcy;Davolio;06.04.2005;10995;1196.0;2005
Niemcy;Peacock;10.04.2005;10996;560.0;2005
Niemcy;Callahan;13.04.2005;10997;1885.0;2005
Niemcy;Callahan;17.04.2005;10998;686.0;2005
Polska;Sowiński;10.04.2005;10999;1197.95;2005
Niemcy;Fuller;14.04.2005;11000;903.75;2005
Niemcy;Fuller;14.04.2005;11001;2769.0;2005
Niemcy;Peacock;16.04.2005;11002;1811.1;2005
Niemcy;Leverling;08.04.2005;11003;326.0;2005
Niemcy;Leverling;20.04.2005;11004;295.38;2005
Niemcy;Fuller;10.04.2005;11005;586.0;2005
Niemcy;Leverling;15.04.2005;11006;329.69;2005
Niemcy;Callahan;13.04.2005;11007;2633.9;2005
Niemcy;Fuller;10.04.2005;11009;616.5;2005
Niemcy;Fuller;21.04.2005;11010;645.0;2005
Niemcy;Leverling;13.04.2005;11011;933.5;2005
Niemcy;Davolio;17.04.2005;11012;2825.3;2005
Niemcy;Fuller;10.04.2005;11013;361.0;2005
Niemcy;Fuller;15.04.2005;11014;243.18;2005
Niemcy;Fuller;20.04.2005;11015;622.35;2005
Polska;Dudek;13.04.2005;11016;491.5;2005
Polska;Dudek;20.04.2005;11017;6750.0;2005
Niemcy;Peacock;16.04.2005;11018;1575.0;2005
Niemcy;Fuller;16.04.2005;11020;632.4;2005
Niemcy;Leverling;21.04.2005;11021;6306.24;2005
Niemcy;Davolio;24.04.2005;11023;1500.0;2005
Niemcy;Peacock;20.04.2005;11024;1966.81;2005
Polska;Sowiński;24.04.2005;11025;270.0;2005
Niemcy;Peacock;28.04.2005;11026;1030.0;2005
Niemcy;Davolio;20.04.2005;11027;877.72;2005
Niemcy;Fuller;22.04.2005;11028;2160.0;2005
Niemcy;Peacock;27.04.2005;11029;1286.8;2005
Polska;King;27.04.2005;11030;12615.05;2005
Polska;Sowiński;24.04.2005;11031;2393.5;2005
Niemcy;Fuller;23.04.2005;11032;8902.5;2005
Polska;King;23.04.2005;11033;3232.8;2005
Niemcy;Callahan;27.04.2005;11034;539.4;2005
Niemcy;Fuller;24.04.2005;11035;1754.5;2005
Niemcy;Callahan;22.04.2005;11036;1692.0;2005
Polska;King;27.04.2005;11037;60.0;2005
Niemcy;Davolio;30.04.2005;11038;732.6;2005
Niemcy;Leverling;28.04.2005;11041;1773.0;2005
Niemcy;Fuller;01.05.2005;11042;405.75;2005
Polska;Kowalski;29.04.2005;11043;210.0;2005
Niemcy;Peacock;01.05.2005;11044;591.6;2005
Niemcy;Callahan;24.04.2005;11046;1485.8;2005
Polska;King;01.05.2005;11047;817.87;2005
Polska;King;30.04.2005;11048;525.0;2005
Niemcy;Leverling;01.05.2005;11052;1332.0;2005
Niemcy;Fuller;29.04.2005;11053;3055.0;2005
Niemcy;Callahan;01.05.2005;11056;3740.0;2005
Niemcy;Leverling;01.05.2005;11057;45.0;2005
